2019-05-25 16:19:59 -03 FATAL:  the database system is starting up
2019-05-25 16:19:59 -03 LOG:  database system was shut down at 2019-05-24 11:20:37 -03
2019-05-25 16:19:59 -03 LOG:  MultiXact member wraparound protections are now enabled
2019-05-25 16:19:59 -03 LOG:  sistema de banco de dados está pronto para aceitar conexões
2019-05-25 16:19:59 -03 LOG:  autovacuum launcher started
2019-05-25 18:23:20 -03 LOG:  pedido de desligamento rápido foi recebido
2019-05-25 18:23:20 -03 LOG:  interrompendo quaisquer transações ativas
2019-05-25 18:23:20 -03 LOG:  autovacuum launcher shutting down
2019-05-25 18:23:21 -03 LOG:  shutting down
2019-05-25 18:23:23 -03 LOG:  database system is shut down
